site_id,latitude,longitude,population_density_km2,household_income_index,commercial_rent_cop_m2,pedestrian_flow_day,vehicle_flow_day,distance_transit_m,competitor_count_1km,poi_density_1km,security_incidents_1km,green_space_pct,office_density_index,tourism_index,existing_store,performance_score,data_source
BG-0001,4.697405111475681,-74.21424752629879,15921.157519848155,70.91636748634438,38595.109480011655,4305.162546264825,63515.72445229266,330.6782867818085,1,245.05506470045933,21,2.9002282018929715,58.839302288791316,10.778276387888559,0,44.50151866582185,Sintético
BG-0002,4.676299729387299,-74.05794847767056,20085.99368410687,60.109560634991595,37403.678640534636,13623.76657351569,30061.914397592536,130.44331487879433,4,216.26904354505893,23,17.48768167908387,9.720948487801198,17.092039998326435,0,38.490476881676564,Sintético
BG-0003,4.570059256609338,-74.16327567323039,12737.992448612686,64.4078649099619,26665.733821111415,27852.09852142313,15884.025178896345,201.87340737833,0,202.46062743312092,17,5.961482426492507,16.919030833994757,12.270349735073342,0,38.81035151748389,Sintético
BG-0004,4.663388870240673,-74.04091590991497,16327.30000570231,80.46477778175543,59182.46663374614,26005.281551945744,22983.098364739093,270.8559101370913,4,283.0709761307811,14,28.589526896001285,46.69130071424957,9.6391803177787,0,47.75102346674079,Sintético
BG-0005,4.504137649243072,-74.07484631982787,17989.883345505208,58.31433484782137,131109.56606374253,16119.345631898923,79583.55186126081,88.71543514018997,1,148.67121389977797,50,19.491476542302635,45.27302164856272,20.086589950280125,0,53.71178806773257,Sintético
BG-0006,4.764249378927184,-73.9971308608245,25543.444869128303,52.6817317458303,34590.95453216961,27351.792240865798,45977.33672449407,1324.6672231792638,6,126.66480719749578,35,26.030057691081595,71.15443524013297,10.042255828714525,0,34.79273953761415,Sintético
BG-0007,4.657746123280867,-74.00501756072062,18839.367326926298,30.449502779186176,33796.04817345755,6412.345762053849,157733.28267704038,2200,0,121.0841450594005,85,8.068345870052543,37.238066402948235,8.094411174602202,0,31.898550117482806,Sintético
BG-0008,4.5492230861913345,-74.07412526945643,15971.60670299305,93.4648979210108,106592.2362085697,11357.424588850814,55532.37779621291,234.38901901854538,11,171.30879646393268,35,3.072504372167225,78.4837431011559,4.640456544070547,0,45.931292654895515,Sintético
BG-0009,4.773965936714788,-73.99547261242587,20501.307028869545,21.443654412516317,83049.41066764765,34714.8229864696,31098.200506935245,712.325328961671,3,240.45694460015721,4,9.88500584856606,8.952338246284562,35.293639879743424,0,30.087551986614635,Sintético
BG-0010,4.720986996503618,-74.21961100600971,22272.08378978205,56.33718084232176,49460.999493116375,32173.54931806694,37051.70178091097,155.41154873102673,3,126.48030420307819,25,20.156336614176713,22.49359339592126,32.247238009900826,0,43.38937366001787,Sintético
BG-0011,4.750648418443106,-74.18097097887444,21892.02192594185,39.95136288635463,71114.33598806146,9927.911805276295,32855.846941713244,270.73903642512835,3,107.80697172792793,29,36.33356402884762,17.807463522288696,12.67668865395119,0,32.85406493970582,Sintético
BG-0012,4.8158834340425924,-74.08304596675202,26922.40181329231,60.02433559012498,85778.85648937413,25126.72367674527,33959.544918066356,119.28356092029524,5,166.5487069739446,17,12.935361136704909,11.292422346399146,3.535297455329964,0,41.8508143239061,Sintético
BG-0013,4.622848796042965,-74.01188714998176,9573.92360645926,81.04135912900516,46742.17916456137,18017.136069471962,30947.393726141498,104.0424587976188,3,133.5142849959391,24,13.549429544979128,70.94376129058469,18.587837239583553,0,35.277380345938305,Sintético
BG-0014,4.591127573659645,-74.04491716718437,10202.557818036898,65.04184464274874,111684.71950341461,25666.777336972722,29235.134971616513,8.648033224602848,1,199.21948620079942,15,29.80262197352588,3.9473438355185895,37.48775288710567,0,45.7650976541735,Sintético
BG-0015,4.514646443851633,-74.04232939646121,20650.46492192516,17.160347607282095,54838.9763073666,16952.090851606325,85332.69778589984,725.6896707215315,1,190.80546500798727,47,29.80539004579165,43.059815202046785,13.432454283582414,0,29.61167496414282,Sintético
BG-0016,4.489757999241831,-74.02428084764813,17991.188632736546,43.40053366940781,83466.5205812017,25874.48958390128,63172.61839418593,283.48165120311097,1,128.32495274770105,28,17.015095531359183,44.721419059271284,4.13820014010124,0,44.55796311991113,Sintético
BG-0017,4.644627519652321,-74.05334544974859,22773.387372364483,62.88465496073615,62088.30361489629,23034.439524272602,88302.74538686137,283.52896725477893,3,105.78420800012695,66,10.348689075974749,29.219473876188545,27.577408466968635,0,44.21624607656322,Sintético
BG-0018,4.5838292830685825,-74.07716371615341,9910.071352191644,61.67861919110743,54498.53841717142,12004.29146740078,68689.50676161333,509.8721246289443,3,334.0921550694351,39,9.64733070295947,14.472757731496023,45.86097193296123,0,31.740551624578423,Sintético
BG-0019,4.800509921852974,-74.10489139926287,14372.00393544315,26.487038508278264,110253.22979483748,51448.2188085006,65485.63529343865,131.89727948526487,0,157.0517991542878,35,18.76613481598464,57.17848973193661,8.35147497668807,0,50.86219160482281,Sintético
BG-0020,4.586935833437858,-74.14564702915652,21699.20854819128,45.892710766639034,55136.36758697034,13555.976621649026,61436.95803959732,599.3723078021754,1,207.03134942394746,16,28.82332849278266,14.213109471767781,15.342606267597194,0,37.153584281614634,Sintético
BG-0021,4.66743012613936,-74.13177521695316,21963.813304275074,85.28621625924868,25000,16997.70077944244,35748.519001938155,148.93787890555328,4,160.56743213845107,32,18.72367983231968,17.143776669076317,30.383685257166192,0,41.23614892945571,Sintético
BG-0022,4.759054167581249,-73.99441182810824,15072.323078814017,28.721110659345655,54327.66217440754,15738.319297539334,45034.219936625974,446.702435045539,1,205.47234676794037,75,8.153893985228722,49.290990865972496,35.32177424909469,0,31.18369801174562,Sintético
BG-0023,4.495636929350253,-74.03688700301268,15143.52825729814,29.344682522098033,127109.46726690394,10885.4216119947,24366.452206394293,259.69350924012923,2,42.35407882777699,12,10.320219478727795,36.37427495564322,21.643781245625952,0,29.057512764512964,Sintético
BG-0024,4.580378456320312,-73.99507276854732,14228.961978234422,51.7205248347959,92697.57681335567,28294.343857159016,40861.716422742895,425.1661347041544,4,213.716697763722,71,10.16634861706118,7.604256158903635,2.9237465868453523,0,30.42419057989255,Sintético
BG-0025,4.760394536264418,-74.10917499912904,19494.176367247263,32.77678151464962,36496.21706521009,3357.034236798355,48287.49115829898,469.25357626718426,5,252.9425972061335,9,2.0605395245433034,11.607594557794995,24.997714266600536,0,21.458625120697544,Sintético
BG-0026,4.64749237045259,-74.19764584031698,18632.413905226287,37.13513859606687,46993.21556321582,8837.517889663812,20020.723887116455,282.2673227272299,3,61.13260496842666,26,24.712994256892426,15.612934274239642,68.62004390286512,0,24.765947753261653,Sintético
BG-0027,4.522814121004735,-74.09014706554116,24541.89780507412,62.39710956161664,43683.231596121885,11105.717439887956,64489.69342505189,10.96967840007515,0,116.12240293480811,13,19.996862061881632,78.41291135255304,46.484858065120285,0,54.09966080413474,Sintético
BG-0028,4.500680638548133,-74.10983416047037,10048.976786559459,47.70720907570892,37296.14911947227,18078.369464829793,141741.6760466578,317.6073798045751,3,85.94857399417644,75,33.086053547177094,23.192387150616145,4.052499704617461,0,38.38192709664589,Sintético
BG-0029,4.793814912149691,-74.20455933912856,17630.683404733616,14.081415093236005,69720.76056285296,12846.928353052883,40954.45190356409,459.74953153140535,6,213.7572776694212,37,16.0518941838805,16.695581086357148,17.809479898011958,0,22.676421333121134,Sintético
BG-0030,4.688614915382058,-74.07217919231914,28300.463697823216,46.769221097636716,65214.91340390512,8508.928921830817,10940.29626387146,575.7616690106247,1,134.3372378492437,49,32.5981762380247,56.706277313955255,31.01532794207667,0,37.21569874444118,Sintético
BG-0031,4.626170635355283,-74.1548533118815,13891.685133846338,94.10544470430531,46240.76827124789,11214.28316294977,5461.611338779076,577.2570785712776,1,208.5828535043075,69,1.930662252659257,32.77883915114909,13.18602447846174,0,28.14242176339966,Sintético
BG-0032,4.509964159641282,-74.02576859724262,16791.065094591144,66.65756296647798,51281.46921087556,17068.42808090275,52361.63596766952,992.7283085601968,2,251.2273150505193,16,5.748639014919221,18.552171233341173,39.580741097946756,0,45.69191548554219,Sintético
BG-0033,4.693253918345922,-74.18527979767958,21609.45308867753,79.95598296397665,45842.02978717782,5812.617941629412,17518.115882077323,838.7150394326776,9,163.83171253446122,33,32.57859930790171,16.932448272848273,33.40895627193697,0,31.019969693417355,Sintético
BG-0034,4.6577343319902855,-74.18348837216425,13542.136085581213,44.12689568875653,67625.61728806104,7150.969841367325,35846.53222396305,540.2837414052093,5,178.94957091376088,21,21.383347290729866,16.25790769395722,27.756347675680487,0,27.498814513404433,Sintético
BG-0035,4.699648439049386,-74.12261653574592,13310.783773232644,52.854732234688065,34959.69712765891,26317.685460617206,42629.64256442821,74.35353429589391,8,246.52652681544055,26,23.400685918823676,53.53415459086304,25.667628548007237,0,44.91308111362655,Sintético
BG-0036,4.757743021457622,-74.03571037844515,19044.691420992778,58.750108964525474,29718.759238038612,11597.415522002382,24753.810072005148,241.63245297146304,3,162.87705145457036,4,35.25923595889496,40.817759544719344,11.489411001425346,0,39.41579384007188,Sintético
BG-0037,4.517803532510241,-74.15373663705097,15986.162047798174,52.888298835919436,130040.06138812634,3578.1404340742333,32630.5169372934,65.09608538251364,3,116.60828939940737,42,19.063544881188417,32.01040728657041,31.309595550003994,0,29.808046225293946,Sintético
BG-0038,4.4950741340203715,-74.09441683860223,17753.539276998585,58.72161317177188,88712.3302444547,12052.269553976867,29244.096942593194,17.979916134483084,2,107.14266649751474,58,13.568250666753807,59.928064459138696,15.940996857835785,0,32.170647451264365,Sintético
BG-0039,4.684834121602278,-74.03086150570581,12108.128883471072,35.46505911065473,49818.797594693504,13329.392786136897,88564.71227231233,182.58579718507866,0,138.20319592967593,44,13.935455564579174,27.3110063391031,41.738242078896484,0,32.957984721079505,Sintético
BG-0040,4.660016359722339,-74.12845216943093,14174.869428849519,29.521877994511815,63862.87208398217,11320.42905529488,146943.6234577149,141.2375512378341,1,153.7197143406415,26,26.266866612391205,3.90970620154612,34.91432751212059,0,35.477380454957476,Sintético
BG-0041,4.521263234726676,-74.17377451462913,22409.144579601027,20.412615191968353,66353.12164534358,6883.320301956082,160000,532.9534868218707,3,153.34949757858374,21,34.7244763403056,65.6610884737735,10.007240439742647,0,48.714587677398995,Sintético
BG-0042,4.799907378676722,-74.01416703913114,18739.286200023653,83.04862823399897,63067.232861173674,9192.632801140351,25371.985982713406,451.53769325947934,6,263.70644381900144,6,13.941231459823097,40.78396362265166,57.93929422935076,1,38.974574733757436,Sintético
BG-0043,4.6294658699729405,-74.1086222400753,18523.676609078877,30.819738027730452,47667.493208162385,12615.713249908033,34589.847739158286,119.66265858445513,1,141.80199756557002,16,6.444824206198943,55.692369978377684,16.860272164785925,0,41.13796987260718,Sintético
BG-0044,4.639999530145187,-74.09656112766355,19665.612521900362,63.15047348966684,50080.9129880295,9822.288986315985,17134.39321706439,294.71175917053034,7,91.12650262154762,23,8.669820490965042,72.02513828251959,16.6899280400942,0,28.36873957920039,Sintético
BG-0045,4.591508388196419,-74.07899433215512,24802.202137429216,75.20148068019482,65232.75378210973,12191.675391193534,42024.48544417278,470.5109580265947,7,157.79741241078997,58,17.322394660690613,84.32202823859217,8.711058646752813,0,54.40627251826934,Sintético
BG-0046,4.776758021030189,-74.0507574276082,19120.496256305163,29.022309836575282,50317.264171932715,13389.978032986563,70042.80095991753,432.97199340176684,5,107.37462498276476,33,8.250146716266894,17.725380142576437,7.588446278128044,0,29.49998675235153,Sintético
BG-0047,4.804567013553097,-74.03493835818999,15423.137628760502,68.69022141535976,58674.441016511,17811.05577402525,67670.69875732198,62.01590804131001,4,116.95681638517044,31,2.6045281105572817,45.19309781744122,12.56797002443604,0,44.7715959076251,Sintético
BG-0048,4.510416644973916,-74.08794932876967,8368.923377848174,92.1236960576719,113152.95780215457,16683.15948994658,112177.73065367849,1093.7752508689086,4,161.3616828732637,14,9.778603668002882,50.941975645369006,4.049295766262735,0,38.15582545258157,Sintético
BG-0049,4.509490841748441,-74.06607115371571,17640.521938038146,60.00435876841156,34484.501242970975,3113.795200887706,67353.6348158619,26.937913235262815,1,145.49345219761253,19,29.193961004306527,58.92441682491858,18.635008052029033,0,41.78382553300184,Sintético
BG-0050,4.736611446906455,-74.01917893654782,21425.7113764942,55.090970381824015,63960.28941061374,12813.349578808939,21794.5452286942,96.56568816174313,4,164.45881081331834,27,15.705446043642443,36.0156439335113,34.72532163454438,0,40.19661975864813,Sintético
BG-0051,4.797758151620882,-74.20412559638312,17707.936642311863,33.383402489705226,72714.09313124008,34418.91893609065,42551.92467673995,482.16136445361883,5,195.17063295800932,13,35.53442268330855,47.72028701527471,16.276239692830504,0,40.92660643662859,Sintético
BG-0052,4.518367177180603,-74.03382001778598,8753.398907808938,80.69356207058908,70612.6306641243,24972.65665365253,32037.634158037927,102.88591361310644,3,249.69562260616738,20,26.292304585929365,58.022996770837246,16.4412574314737,0,48.844694003155325,Sintético
